"wave","happy","health","life","gTrust","finance","nTrust","income","edu","edu_c","country"
5,"2","1","9","2","5","2","6","7",NA,"Andorra"
5,"1","1","10","2","6","2","6","6",NA,"Andorra"
5,"1","1","8","2","3","3","7","3",NA,"Andorra"
5,"2","2","4","2","5","2",NA,"9",NA,"Andorra"
5,"2","3","8","2","8","2","5","8",NA,"Andorra"
5,"2","1","4","2","3","3","7","7",NA,"Andorra"
5,"2","2","7","2","5","3","5","7",NA,"Andorra"
5,"3","3","8","2","1","3","3","6",NA,"Andorra"
5,"1","2","8","2","7","3","6","6",NA,"Andorra"
5,"1","1","8","2","7","2","7","8",NA,"Andorra"
5,"2","2","8","1","7","3","6","9",NA,"Andorra"
5,"1","2","10","2","6","2","6","5",NA,"Andorra"
5,"2","2","6","2","6","2","6","2",NA,"Andorra"
5,"2","2","7","2","8","2","7","6",NA,"Andorra"
5,"1","1","10","1","9","2","6","9",NA,"Andorra"
5,"1","1","8","2","7","4","7","7",NA,"Andorra"
5,"2","1","7","1","7","2","7","9",NA,"Andorra"
5,"2","1","8","1","8","2","6","9",NA,"Andorra"
5,"1","1","8","2","8","2","7","9",NA,"Andorra"
5,"2","2","8","2","8","3","7","7",NA,"Andorra"
5,"2","2","7","1","6","2","3","9",NA,"Andorra"
