"security","tally","percent","lower_step","second_step","third_step","fourth_step","fifth_step","sixth_step","seventh_step","eigth_step","nineth_step","tenth_step","no_answer","country"
"Very Secure",585,26.2,23.4,19.9,19,25,19.8,27.5,35.8,42.9,54.3,32.7,19.5,"USA"
"Quite secure",1256,56.3,43.4,50.2,53.9,57.4,62.3,65.7,55.8,47.1,39.2,40.3,26.7,"USA"
"Not very secure",305,13.7,22.3,28.9,23.6,15.8,13.3,4.9,7.5,8.7,4.7,19,18.8,"USA"
"Not at all secure",61,2.7,10.9,1,3.5,1.6,4.2,1.1,0.9,1.3,1.8,8,3.6,"USA"
"No answer",25,1.1,0,0,0,0.2,0.4,0.7,0,0,0,0,31.3,"USA"
"(N)",2232,100,113,126,258,317,464,393,317,134,28,20,63,"USA"
