"nTrust","lower_step","second_step","third_step","fourth_step","fifth_step","sixth_step","seventh_step","eigth_step","nineth_step","tenth_step","no_answer"
"Trust completely",7.8,1.9,6.5,5.9,6.9,9.9,11.6,11,21.6,15.9,5
"Trust somewhat",52.9,67.8,55.8,69.9,67,65.7,67.3,64.6,57.1,41.9,37.3
"Do not trust very much",24.2,24,27.5,20.1,16.9,20.6,19.5,21.5,19.3,23.3,21.4
"Do not trust at all",13.8,6.2,9.8,3.8,8.3,3.3,1.5,1.8,0,19,6
"No answer",1.2,0,0.3,0.4,0.9,0.5,0.1,1.2,2,0,30.3
"(N)",113,126,258,317,464,393,317,134,28,20,63
