"finance","tally","percent"
"Completely dissatisfied",124,5.5
"2",85,3.8
"3",145,6.5
"4",203,9.1
"5",267,12
"6",258,11.6
"7",362,16.2
"8",411,18.4
"9",235,10.5
"Completely satisfied",127,5.7
"No answer; BH: Refused",14,0.6
"(N)",2232,100
