"","V1"
"1",0.0345861464107726
"2",0.0438742587251268
"3",0.0488241281530938
"4",0.0532614443583198
"5",0.0523856751765088
"6",0.0537966970914825
"7",0.0586656070890412
"8",0.0581791191867459
"9",0.0651930956529943
"10",0.0671867616670366
"11",0.0649324627392389
"12",0.0697900528420533
"13",0.0658927705946185
"14",0.0614689195743875
"15",0.0636614546491883
"16",0.0694816573454047
"17",0.0618650481510856
"18",0.0660468508666712
"19",0.0604514086958968
"20",0.0592028174004555
"21",0.0624917023083345
"22",0.0595815397338409
"23",0.0694928896177165
"24",0.0726080433522255
"25",0.0759293831376634
"26",0.0769682440656652
"27",0.0757345242257116
"28",0.0731515927482732
"29",0.0783185187199103
"30",0.0745385809252771
"31",0.0791108045480206
"32",0.0752922615626249
"33",0.0777460550725953
"34",0.0755081343580556
"35",0.0781929265813468
"36",0.0762622873471583
"37",0.079093137916615
"38",0.0718440002140676
"39",0.066711781822543
"40",0.0693257164814585
"41",0.0663212399879862
"42",0.0752580415011137
"43",0.0727523367756513
"44",0.0677284287995678
"45",0.0659581895193429
"46",0.0688721527322477
"47",0.0699799068965959
"48",0.0718231256392348
"49",0.076430448767953
"50",0.0890031679597274
"51",0.0725018714696455
"52",0.067707269297903
"53",0.0689074109425395
"54",0.0709988005885219
"55",0.0700412772277949
"56",0.0736420969793676
"57",0.0764609204570139
"58",0.0695533777120121
"59",0.0719844273101823
"60",0.0694884561024078
"61",0.0754833988685182
"62",0.0757433829922848
"63",0.0685506581587556
"64",0.0656906640033427
"65",0.072453766251363
"66",0.0719329760610657
"67",0.0664073839712781
"68",0.070773943143485
"69",0.0704285338877307
"70",0.0707569119803754
"71",0.0743816860718658
"72",0.0759913308382471
"73",0.0703818425324724
"74",0.0669205609596113
"75",0.0718601782228187
"76",0.0738304604877045
"77",0.068002967829074
"78",0.069345239618447
"79",0.0728410164545552
"80",0.0717284638481933
"81",0.0763379020980952
"82",0.0720015201127975
"83",0.0754903896862077
"84",0.0786114362989227
"85",0.0769465921855815
"86",0.081527807624563
"87",0.0736658367458622
"88",0.0724945729553584
"89",0.0765123348507732
"90",0.0724247375716468
"91",0.069677647976268
"92",0.0677349854536243
"93",0.0658123817506255
"94",0.0686568499758931
"95",0.0661232726131031
"96",0.068344912930841
"97",0.0664786419817028
"98",0.0674571511478495
"99",0.0738152654750815
"100",0.0741591965542921
"101",0.0750653563429862
"102",0.0768197765966743
"103",0.0682143366606067
"104",0.0692090917637375
"105",0.0720392930495642
"106",0.0773507597188634
"107",0.0772393960811351
"108",0.0764427187135131
"109",0.0831196601691983
"110",0.0783251894412681
"111",0.0809640738370784
"112",0.0731498455373587
"113",0.0741849991545918
"114",0.0720924969273731
"115",0.066008172671059
"116",0.0717337003213157
"117",0.0754189774249124
"118",0.0784627446941102
"119",0.0747398608874327
"120",0.0704322148869637
"121",0.0769167651922331
"122",0.0740840196029088
"123",0.0750607244058164
"124",0.0734146566581541
"125",0.0786342642020086
"126",0.0842427711309028
"127",0.0855751859662851
"128",0.0784284028238102
"129",0.0726835031465842
"130",0.0727085357365881
"131",0.0749011455572127
"132",0.0662636255949967
"133",0.0699843061241249
"134",0.0751943736028427
"135",0.0782096757380903
"136",0.0739402403734163
"137",0.0679749581511297
"138",0.0739303959064906
"139",0.0725140156606615
"140",0.0755574961467427
"141",0.081237649071653
"142",0.0739120523078544
"143",0.0819752264007109
"144",0.0796011969130309
"145",0.0733410591951059
"146",0.0762109850892574
"147",0.0748214742823231
"148",0.0726747286485258
"149",0.0710565844551965
"150",0.0673771404521086
"151",0.0739772731109731
"152",0.0611998783169949
"153",0.0616953365430086
"154",0.0598113245750158
"155",0.0672539022676383
"156",0.0658499863991107
"157",0.0688181880043702
"158",0.0651175752458987
"159",0.0661763304266113
"160",0.0650716081298576
"161",0.0672290276927256
"162",0.0623699557346581
"163",0.0662563402950984
"164",0.0716919888447404
"165",0.070280040919244
"166",0.0732795564303385
"167",0.0749994865726438
"168",0.0811342449561891
"169",0.07796179412976
"170",0.0871957079528945
"171",0.0896825119820268
"172",0.0792985606810011
"173",0.0800057515887468
"174",0.0745456961333863
"175",0.0745499785791218
"176",0.0705847808286824
"177",0.0771259979095875
"178",0.0763366576661725
"179",0.0752085053750178
"180",0.0720023160388213
"181",0.0728151067720128
"182",0.0799353154473152
"183",0.0794349936216466
"184",0.0717159831074985
"185",0.076453892789617
"186",0.0797779320057626
"187",0.070165484308
"188",0.0712137396041522
"189",0.0761452268556912
"190",0.0764482865818292
"191",0.0812701773332678
"192",0.0740813554634439
"193",0.0730358823557264
"194",0.0708736489189053
"195",0.0689169887679974
"196",0.0748069007556851
"197",0.0818785749248867
"198",0.0886860858443099
"199",0.0709180521489273
"200",0.0840822539796963
"201",0.0795621657014863
"202",0.0715369496305686
"203",0.0729383059970647
"204",0.0809116016098578
"205",0.0782835142236798
"206",0.0712278065981693
"207",0.0724756583752915
"208",0.0665242931282165
"209",0.0712453512926568
"210",0.0678655744571146
"211",0.0684342351510182
"212",0.0752950475032456
"213",0.0787182241318049
"214",0.0780362664116685
"215",0.0705688285719183
"216",0.0720052426987379
"217",0.0746627163842733
"218",0.0760334044354909
"219",0.071845758864278
"220",0.0765820406991031
"221",0.0741713542569894
"222",0.0752633465970638
"223",0.0786655614681157
"224",0.0702708855419295
"225",0.0728409260736889
"226",0.0710581755501865
"227",0.0669835595186132
"228",0.0723386218298829
"229",0.0723496526751798
"230",0.0654932389589128
"231",0.0661548559130248
"232",0.0721887502871736
"233",0.0741739132632964
"234",0.0749673579794646
"235",0.0702597542919218
"236",0.0659307768796921
"237",0.0720684595281929
"238",0.0637017239450016
"239",0.067021347099906
"240",0.0661603774592672
"241",0.0700269685016955
"242",0.0637380875533234
"243",0.062828353146253
"244",0.0647275639070128
"245",0.0721849772270619
"246",0.0648206554936599
"247",0.0699268546837384
"248",0.0749814777928374
"249",0.0751352854251985
"250",0.0681768463993129
"251",0.0689859397442984
"252",0.0692733938255446
"253",0.0763685067272157
"254",0.0822206721872265
"255",0.087283138784308
"256",0.0788494959016076
"257",0.0759144331476939
"258",0.0764480241238471
"259",0.077915025481331
"260",0.080782188118009
"261",0.0732825351283303
"262",0.0664385880007101
"263",0.0689693631637242
"264",0.0754146558716411
"265",0.0801849827467277
"266",0.0716642388102175
"267",0.076129745705845
"268",0.0787166780456617
"269",0.0771648256797385
"270",0.0804870082315913
"271",0.0703178446783528
"272",0.0719103651930102
"273",0.0723023910754407
"274",0.0741531873339413
"275",0.0831736403611222
"276",0.0821568338247876
"277",0.0751268800207604
"278",0.0764288700763901
"279",0.0771719184551556
"280",0.0743838556689764
"281",0.0677082913766447
"282",0.0691520205264045
"283",0.073660689693679
"284",0.0832035062076964
"285",0.0771253286306409
"286",0.0794264764882984
"287",0.078613995209037
"288",0.0758961890245333
"289",0.0772566227938941
"290",0.0832154749896702
"291",0.0772093941501287
"292",0.0831237787264208
"293",0.0715233118306194
"294",0.0782305396050115
"295",0.077340083115523
"296",0.0802913693050162
"297",0.0703806249452258
"298",0.0782180292906898
"299",0.0827783618001265
"300",0.0748212172952456
"301",0.0782116779932264
"302",0.0845907981971405
"303",0.0798168074692182
"304",0.0808480693013752
"305",0.0838656086530293
"306",0.0851011204168398
"307",0.0804428409055881
"308",0.0809233654559701
"309",0.0721844638838429
"310",0.0769246671138052
"311",0.0795164606826161
"312",0.0855399797562149
"313",0.0852093161248688
"314",0.0802140393220215
"315",0.0788886211307423
"316",0.0743768797233603
"317",0.073927984768695
"318",0.0678846688395264
"319",0.0752943764120973
"320",0.0721624171429191
"321",0.0793583127216422
"322",0.0763923815627154
"323",0.0732835475843108
"324",0.0744798913387424
"325",0.0722497161719543
"326",0.0700806710749329
"327",0.0761736203614097
"328",0.0744463351913455
"329",0.0733498115125977
"330",0.0662028995319419
"331",0.0706133819710728
"332",0.067796796716015
"333",0.0760422418846685
"334",0.072310179588839
"335",0.0643516595898382
"336",0.0668080373573212
"337",0.0693265469758738
"338",0.0705431890684923
"339",0.0644995188050682
"340",0.0722262156004124
"341",0.0683926039845798
"342",0.0693626651457708
"343",0.0714045906332561
"344",0.0639092439047071
"345",0.0669344989981973
"346",0.06698062406545
"347",0.0778636136973567
"348",0.0865572629486888
"349",0.0806103726538839
"350",0.0810292416633673
"351",0.0736598789216889
"352",0.0739032378706573
"353",0.0696934231488768
"354",0.0767026173052463
"355",0.0789299593071123
"356",0.0792296827807826
"357",0.0725204747624781
"358",0.0733724411988929
"359",0.0686061732140804
"360",0.0683219564616647
"361",0.0705514999367652
"362",0.0665580130106644
"363",0.0670441964210533
"364",0.0701965209271515
"365",0.0708410587429356
"366",0.0702788138159036
"367",0.074235540355981
"368",0.0766079363991172
"369",0.0712562029957227
"370",0.0708357279401459
"371",0.0679780733595552
"372",0.0729092921025924
"373",0.0733791376483025
"374",0.0710147166907839
"375",0.0736250637569739
"376",0.0745456874506935
"377",0.0695189413741729
"378",0.0797243312546669
"379",0.0723364319877657
"380",0.0813691180798346
"381",0.0738494934406424
"382",0.0763496880019821
"383",0.0747575466731628
"384",0.0710411597668939
"385",0.0690384218180046
"386",0.0666455225768311
"387",0.0686171504460438
"388",0.0700130281062983
"389",0.066032350593741
"390",0.0727940844372607
"391",0.0734742225269653
"392",0.083561847609159
"393",0.0749283375259523
"394",0.0749362676024897
"395",0.0708489741101649
"396",0.0735413144403559
"397",0.0694016626377986
"398",0.0688664617251307
"399",0.0688717365953819
"400",0.0706465271723906
"401",0.0781308568599487
"402",0.0728458097423124
"403",0.0867035131919404
"404",0.085821268400008
"405",0.0838525551059994
"406",0.0892323716522236
"407",0.0840838986776583
"408",0.0815539821111393
"409",0.084039247801056
"410",0.0856392173376765
"411",0.0811261598585033
"412",0.0838716971934514
"413",0.0867327500578445
"414",0.0813871234225503
"415",0.0903021229917797
"416",0.0923268493045985
"417",0.0850349986041527
"418",0.0796729000724215
"419",0.0809887561655354
"420",0.0824121140873801
"421",0.0744434839553234
"422",0.0695039916159748
"423",0.0744406549666018
"424",0.0797480508537422
"425",0.0756425366381007
"426",0.0743581025147101
"427",0.0727419419722356
"428",0.0729167404965749
"429",0.0703850875841857
"430",0.0711932569150287
"431",0.0689198865217578
"432",0.0738870343319139
"433",0.0717079998485895
"434",0.0672089856202957
"435",0.0736328086902116
"436",0.0695468962864461
"437",0.0659736080355512
"438",0.0684456091223298
"439",0.0679197424590439
"440",0.0726034140416105
"441",0.0790496757645312
"442",0.0714428055079605
"443",0.0692146423745442
"444",0.0676696356417282
"445",0.0736853552210123
"446",0.0732756543071971
"447",0.0671507704953284
"448",0.0680794927540148
"449",0.0718105191253319
"450",0.0705114509530095
"451",0.0745443352958235
"452",0.0728661494944795
"453",0.077080545866679
"454",0.0726158612432133
"455",0.067026696595702
"456",0.0732567599126158
"457",0.0754705179160548
"458",0.0724000971400442
"459",0.0688456510596742
"460",0.0745198515501928
"461",0.0750607910278435
"462",0.0785912505090151
"463",0.072732323520142
"464",0.0704446375728903
"465",0.06672479587286
"466",0.0798316678076465
"467",0.0754280578720453
"468",0.0824627300886432
"469",0.08659185800257
"470",0.087997395686938
"471",0.0877182760985585
"472",0.0766340716323908
"473",0.0760561636888803
"474",0.0675847513399413
"475",0.0695444977142335
"476",0.0673590848402879
"477",0.0642425367759186
"478",0.069217507098818
"479",0.0730663696306015
"480",0.0697166304311854
"481",0.0668826549085835
"482",0.0732676268575523
"483",0.0716846198910603
"484",0.0729473578344423
"485",0.0720956894524339
"486",0.069736734055174
"487",0.0758578073279041
"488",0.079414561050991
"489",0.0785821069710367
"490",0.0761244216158888
"491",0.0685289372248445
"492",0.0671523235680672
"493",0.0714899411285054
"494",0.0696085262799309
"495",0.0693080538787261
"496",0.0757991208410004
"497",0.0733883304373136
"498",0.0723829277349031
"499",0.0728426840056595
"500",0.079769768992939
"501",0.066775748379594
"502",0.0633729728100189
"503",0.0647817816303231
"504",0.0639875690668707
"505",0.0661417622398354
"506",0.0667251093684129
"507",0.0768944406640879
"508",0.0752959280680789
"509",0.0766549997843262
"510",0.0754965582207333
"511",0.0708624111200481
"512",0.0768916774612727
"513",0.0750974421175173
"514",0.0776878604847224
"515",0.0759184096601363
"516",0.0802412081336651
"517",0.0845241136647112
"518",0.0906228633472432
"519",0.0863022664200279
"520",0.0839619483878965
"521",0.0819316456159556
"522",0.0844600259051319
"523",0.0789573974843876
"524",0.0736795686342303
"525",0.076731384502271
"526",0.0703979750609456
"527",0.0740205165563372
"528",0.0706369001876261
"529",0.0761302294003481
"530",0.0731314317093541
"531",0.0709622627827315
"532",0.0761921294319619
"533",0.0783131246962284
"534",0.0832280169233601
"535",0.0733941310665149
"536",0.0709902098499378
"537",0.0781237429478869
"538",0.0830514971411101
"539",0.074666542122725
"540",0.0767495470190586
"541",0.0796144669390564
"542",0.0719539025779846
"543",0.0798478526650157
"544",0.0811790229635201
"545",0.0807457121411735
"546",0.0815980112744756
"547",0.0717945569480136
"548",0.0667547750345983
"549",0.0725148171842906
"550",0.0754236632323591
"551",0.0675709450594444
"552",0.0702870132130878
"553",0.0681587120659882
"554",0.0689842831765454
"555",0.0709938082854323
"556",0.0712916160102073
"557",0.0739923472554773
"558",0.0781874801989125
"559",0.0678761027048271
"560",0.0760907771321876
"561",0.0806448282727106
"562",0.0789387238813551
"563",0.0838556089354051
"564",0.0843202997181701
"565",0.0848123400231977
"566",0.0810266363582183
"567",0.0853955811301001
"568",0.0771567360079454
"569",0.0814146708629775
"570",0.0811354638411259
"571",0.0870992411050156
"572",0.0825471336141879
"573",0.0764585124305581
"574",0.0788773909009049
"575",0.0733770619299752
"576",0.0742971431278432
"577",0.0705139153846567
"578",0.0702590576662602
"579",0.0836706281452222
"580",0.0804690762742607
"581",0.0875960078262518
"582",0.0824816928248916
"583",0.0757655322481999
"584",0.0786251335557369
"585",0.082361482523671
"586",0.0798212946799177
"587",0.0840240692108498
"588",0.0844193710339574
"589",0.078558061521506
"590",0.0737624180678992
"591",0.0711647217398162
"592",0.0748757563548845
"593",0.0726453985514953
"594",0.0749640733339015
"595",0.0785763980937332
"596",0.0763320563849821
"597",0.0799601079531754
"598",0.0757062765121173
"599",0.0831735328693147
"600",0.0786449767464434
"601",0.0842742756134355
"602",0.0750035427536205
"603",0.0708239918838895
"604",0.0747993781203647
"605",0.0789482418045723
"606",0.0840744229757872
"607",0.0773932563960169
"608",0.0787110325385701
"609",0.0741443724507834
"610",0.0743843146631863
